OID,Numeric OID,YANG Xpath,YANG Module
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheTable.lispMapCacheEntry.lispMapCacheEidExpiryTime.<>,.1.3.6.1.2.1.220.1.6.1.4.<>,/lisp-state/lisp-routers/instances/af/map-cache/expiry-time,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheTable.lispMapCacheEntry.lispMapCacheEidState.<>,.1.3.6.1.2.1.220.1.6.1.5.<>,/lisp-state/lisp-routers/instances/af/map-cache/is-active,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheTable.lispMapCacheEntry.lispMapCacheEidAuthoritative.<>,.1.3.6.1.2.1.220.1.6.1.6.<>,/lisp-state/lisp-routers/instances/af/map-cache/is-authoritative,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocTimeStamp.<>,.1.3.6.1.2.1.220.1.7.1.8.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/creation-time,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocLastStateChange.<>,.1.3.6.1.2.1.220.1.7.1.13.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/last-state-change-time,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocMPriority.<>,.1.3.6.1.2.1.220.1.7.1.5.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/params/mcast-priority,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocMWeight.<>,.1.3.6.1.2.1.220.1.7.1.6.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/params/mcast-weight,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocPriority.<>,.1.3.6.1.2.1.220.1.7.1.3.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/params/priority,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocWeight.<>,.1.3.6.1.2.1.220.1.7.1.4.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/params/weight,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocRtt.<>,.1.3.6.1.2.1.220.1.7.1.14.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/rloc-probe-rtt,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheLocatorTable.lispMapCacheLocatorEntry.lispMapCacheLocatorRlocState.<>,.1.3.6.1.2.1.220.1.7.1.7.<>,/lisp-state/lisp-routers/instances/af/map-cache/map-cache-rloc/state,Cisco-IOS-XE-lisp-oper
